"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.28394464724527e-06,0.45153933049091,0.4,0.209,0.0450360168923216,"FCGR3A+ Mono","CHMP5"
3.44408239590101e-06,0.255786775212331,0.463,0.242,0.0472321459773865,"FCGR3A+ Mono","BUD31"
3.66816467123228e-06,0.384134206285881,0.76,0.529,0.0503052103012795,"FCGR3A+ Mono","GPX4"
3.75498129302971e-06,0.534267983605281,0.48,0.26,0.0514958134526095,"FCGR3A+ Mono","AHNAK"
3.94169520536971e-06,0.273648795532353,0.594,0.354,0.0540564080464402,"FCGR3A+ Mono","BIN2"
4.34831320025352e-06,0.869698049486074,0.257,0.12,0.0596327672282768,"FCGR3A+ Mono","GLUD1"
4.50274230662792e-06,0.437486644961161,0.291,0.143,0.0617506079930953,"FCGR3A+ Mono","VIMP"
4.72336027330267e-06,0.464506000096695,0.331,0.17,0.0647761627880729,"FCGR3A+ Mono","LRPAP1"
4.87048951504321e-06,0.342237847165619,0.297,0.144,0.0667938932093025,"FCGR3A+ Mono","WBP2"
4.87770628480067e-06,0.360772665839352,0.326,0.16,0.0668928639897563,"FCGR3A+ Mono","CAPZA1"
5.17586005466689e-06,0.595524864840482,0.503,0.297,0.0709817447897018,"FCGR3A+ Mono","OSTF1"
5.53737019554066e-06,0.304756674110616,0.68,0.447,0.0759394948616447,"FCGR3A+ Mono","CD44"
5.94583083305524e-06,0.507237970443099,0.269,0.127,0.0815411240445195,"FCGR3A+ Mono","RNF114"
7.31740289915995e-06,0.438454057725604,0.303,0.15,0.10035086335908,"FCGR3A+ Mono","CDK2AP2"
7.32006938714812e-06,0.364579547798468,0.731,0.461,0.100387431575349,"FCGR3A+ Mono","SAP18"
7.38226673004871e-06,0.63882768973196,0.377,0.197,0.101240405935888,"FCGR3A+ Mono","RBCK1"
7.43089873687586e-06,0.503456097458295,0.337,0.176,0.101907345277516,"FCGR3A+ Mono","DECR1"
9.25224223390643e-06,0.476263999724416,0.366,0.198,0.126885249995793,"FCGR3A+ Mono","MKRN1"
9.41091514452671e-06,0.325376390436058,0.269,0.127,0.129061290292039,"FCGR3A+ Mono","OS9"
9.55762465950838e-06,0.325381121108661,0.257,0.119,0.131073264580498,"FCGR3A+ Mono","MEA1"
9.60428570177447e-06,0.462673772038018,0.263,0.125,0.131713174114135,"FCGR3A+ Mono","PABPC4"
1.00140320229094e-05,0.472765781051293,0.263,0.126,0.137332435162179,"FCGR3A+ Mono","TUBB4B"
